code,Country Name,Overall Index,Science and Technology,Culture,Int'l Peace and Security,World Order,Planet and Climate,Prosperity and Equality,Health and Wellbeing
IRL,Ireland,1,20,7,33,4,45,1,9
FIN,Finland,2,7,18,53,12,14,3,12
CHE,Switzerland,3,6,32,71,10,16,2,10
NLD,Netherlands,4,18,2,97,3,23,8,2
NZL,New Zealand,5,10,25,37,17,7,41,17
SWE,Sweden,6,8,14,111,8,3,4,8
GBR,United Kingdom,7,1,12,94,9,30,9,6
NOR,Norway,8,40,24,58,7,4,14,16
DNK,Denmark,9,14,9,88,5,26,35,5
BEL,Belgium,10,15,1,100,16,56,5,3
FRA,France,11,12,26,92,18,10,28,15
CAN,Canada,12,28,20,106,14,2,30,4
DEU,Germany,13,11,5,109,1,29,33,18
AUT,Austria,14,2,4,104,2,43,24,31
AUS,Australia,15,16,38,89,13,6,36,14
LUX,Luxembourg,16,55,10,101,19,12,19,13
ISL,Iceland,17,24,37,27,15,1,101,44
CYP,Cyprus,18,3,35,86,21,22,37,49
ESP,Spain,19,37,23,120,24,24,49,1
ITA,Italy,20,38,22,102,11,44,65,19
USA,United States of America,21,26,41,114,28,39,53,7
CRI,Costa Rica,22,61,64,35,25,19,42,76
MLT,Malta,23,64,3,66,6,36,99,50
CHL,Chile,24,52,47,42,27,18,31,114
JPN,Japan,25,46,44,77,56,11,71,33
KEN,Kenya,26,47,84,20,48,98,16,28
SGP,Singapore,27,21,39,80,121,20,7,58
SVN,Slovenia,28,17,17,87,23,68,111,26
GTM,Guatemala,29,91,57,29,76,42,21,39
GRC,Greece,30,34,36,65,33,32,87,71
COL,Colombia,31,57,83,43,107,15,29,29
BGR,Bulgaria,32,19,27,79,36,80,70,55
PAN,Panama,33,81,43,70,30,37,44,66
EST,Estonia,34,31,6,107,80,66,66,21
PRT,Portugal,35,42,19,116,44,48,61,51
MUS,Mauritius,36,69,33,40,32,122,27,63
ISR,Israel,37,5,40,81,68,35,63,103
GHA,Ghana,38,59,62,12,71,72,6,115
ECU,Ecuador,39,105,79,10,39,38,90,38
ZMB,Zambia,40,90,85,21,47,21,11,124
URY,Uruguay,41,104,58,5,35,13,94,95
SVK,Slovakia,42,43,21,110,49,51,69,62
CZE,Czech Republic,43,4,8,121,34,77,100,67
ZAF,South Africa,44,29,60,15,31,102,121,56
JAM,Jamaica,45,65,59,23,62,87,51,72
HRV,Croatia,46,35,30,62,73,52,85,84
KOR,Republic of Korea,47,30,34,119,45,71,60,65
NAM,Namibia,48,74,52,30,89,34,25,120
BRA,Brazil,49,75,49,83,37,5,123,52
JOR,Jordan,50,39,78,2,101,99,81,25
TTO,Trinidad and Tobago,51,76,42,25,64,110,22,86
POL,Poland,52,32,16,105,26,83,83,81
THA,Thailand,53,66,67,73,22,97,80,22
PRY,Paraguay,54,120,56,8,60,31,125,27
MKD,The former Yugoslav Republic of Macedonia,55,33,55,82,41,119,20,85
TUN,Tunisia,56,58,86,31,82,59,54,68
ARG,Argentina,57,67,46,55,29,25,105,112
MYS,Malaysia,58,49,28,113,87,73,10,91
UGA,Uganda,59,71,108,41,66,9,91,69
MDA,Republic of Moldova,60,44,65,46,51,115,84,54
HUN,Hungary,61,9,13,123,59,76,78,101
SRB,Serbia,62,23,31,98,52,124,52,79
TZA,United Republic of Tanzania,63,113,74,3,43,93,102,32
BWA,Botswana,64,107,66,67,54,41,12,113
ROU,Romania,65,48,29,75,53,69,114,74
